sentiment,content
0,"Huelga en el Starbucks de San Martín #Viña: Mi hora vale menos que el café con leche + pequeño!, dicen. http://twitpic.com/5rphhq"
0,Digan lo que quieran pero Sky esta mas jodido que Telcel
1,envíen la palabra VOZ al 514 los que tienen Movistar y les van a obsequiar 30 min es de verdad! es hasta la 1 pm
0,asi como cuando quieres hablar con esa personita pero movistar no sirve#buenoasi:/
0,Demasiado RT @Pauita: Que pasa con movístar @Presid_Movistar esta muy malo
0,JAJAJA movistar ya me dio el bono de 50mb por su mal servicio jahjashjkdjdaskj
1,"Hasta las 10 pm SMS libres para cualquier operadora, solo debes marcar desde tu movistar 8986+04XX+ Nro.  gracias a @Presid_Movistar"
0,Con quien me quejo por que @telmex no quiere abrirme el puerto 25 para usarlo con mi @infinitum?
0,El internet de Movistar es asi de lento o es solo el mio? Tipo morrocoy
0,anda estupido u.u @ricardo_bj10 A buenn problemita con Movistar ahoora! :( :'(
0,quien sabe si #Starbucks sigue en huelga?
0,empresa numero uno en... Atencion.... @IUSACELL jajaja ya hablando enserio...
0,Como saltarse el capado de Movistar a los vídeos de YouTube: http://t.co/XNllNMn
0,No sabia esa! Digitel trajo el iPhone 4 y a buenos precios! Te jodiste Movistar!
0,La señal de movistar hoy está pasada de mierda.
0,EDGE de mierda como te odio movistar!!!
0,por que en #movistar no me dan respuesta!!!!!
1,Dia Starbucks :D alguien gusta algo ?
0,INICIO LA SEMANa CON un PROBLEMA EN @IUSACELL (sin internet)y  contactar a ellos es perder la mitad de mi dia tanto en CAT y via telefonica
0,"me le cae la red en el Starbucks, eso me pasa por venir a trabajar a una cafetería donde explotan a sus trabajadores y me asaltan x un café."
0,"#terribleservicio el de TELCEL es una porqueria por eso, ya decidido ire por mi NEXTEL (: @luulut"
0,Mas Incomunicado que #Iusacell
0,"Movistar es un robo un fraude! Me cambiare a digitel, ya dije!"
0,#Movistar vete a cuba q eres una Porquería
0,"LA RED MOVISTAR ESTA CAIDA DESDE HACE RATO! NADA D MSJS D TEXTO,NI MODEM HUAWEI,ni @twitter PERO PA COBRAR LINCES! @MOVISTARVe @MAYER_32"
0,gracias al excelente servicio de Telmex no he podido trabajar el dia de hoy
0,Me acabo de conectar y mi internet se ha ido 4 veces... pinche telmex
0,Alguien sabe que demonios le sucede a Movistar?
0,la forra que tengo al lado en starbucks es insoportable la estoy por matar no me puedo concentrar
0,Para qué pagar una banda ancha de 4G con #Telmex si en los videos de Youtube se queda colgada?
0,un poco enojado saben que hay empresas como movistar que atropellan roban se burlan de los venezolanos y pido ayuda y nadie hace nada
1,Movistar desplegará IPv6 en las instalaciones de la Campus Party 2011 de Valencia http://t.co/WIN1OuZ vía @xatakaon
0,Gracias movistar por dejarme en Gsm
0,Dios dame paciencia porque esta banda ancha de #telcel esta acabando con la que tengo.
0,odiando a Movistar con todo mi &lt;3
0,Así como cuando Movistar se pone basura.
0,"Hay cada q llueve tengo problemas con la red, la señal se cae ahhhh q coraje &gt;:0 #telcel falla mucho con este clima"
0,No es posible @Telcel $20!!! por un minuto de mi llamada! #WTF!!! Abusan!!!
0,"Cuando me saquen la vesícula, le voy a pasar factura a @telcel #fb"
1,"Fui a un Starbucks y NO compre nada, superen eso novatos."
0,Que mal esta funcionando movistar!!
0,voy a llamar a mi ppa ya q movistar no me deja hacer llamadas :/
0,Envía  cuadre al 2856 y movistar te cuadrará un culo para el miércoles. Por el culo que no cuadraste ayer por culpa de las fallas de ayer.
0,Que porqueriaaaa #MOVISTAR
0,"Pinches idiotas de @telcel, servicio de imbéciles en su call center, llaman y CUELGAN por que no quieres sus pinches planes idiotas."
1,Tomando un rico chocolate en @starbucks Mmm
1,ÎèConocen los beneficios de ser parte del mejor club? #ClubMovistarVe http://club.movistar.com.ve/web/index.php Vía: MovistarVE
0,Un terrorista CSM!! Jajaja Movistar si tiene excusas para su incompetencia que patético
0,Cosas q me ponen de malas : telcel!
0,mis canales se ven horrible  #megacable
0,"@nadimehu: Alguien tiene problemas con Iusacell??? no puedo hacer ninguna llamada, solo recibir/n seran travesuras de angie?"
0,#Típico buzón telcel
0,MoviStar advierte: Q utilizar el vibrador del movil como consolador perjudica SERIAMENTE las relaciones de pareja #humorguayaco
0,Cuando van a sacar infinitum de verdad o que pedo? @telmex #JodeteSlim
0,"Dia 5 @iusacell El MiFi otra vez falla, esta vez hay que instalarle una aplicación a su línea, no está actualizada, en 24h se arreglará."
0,Creo que Movistar esta pote hoy ...
0,telcel eres una mierda!! :@
0,"Ya reinicie todo! Y aun asi sigue lento el internet de la oficina, solo me queda culpar a telmex!"
1,"me vuelve el alma al cuerpo!..., telmex ya me lo puso! :D"
0,"no lo creo, aun sigo sin señal TELCEL bye bye.... solo q termine mi contrato y me cambiooo de compañia oshhhhhhhhhhh"
0,Q PEX CON LA COMUNICACION CON TELCEL!!!!
0,Movistar conmigo hace el papel de cortanota profesional.
1,"Chicos, si cargan de $30 en adelante se DUPLICA! Por si les interesa. #Movistar"
0,UNEFON YA VALIO MADRE TELCEL DE LO MAS CARO DEL MUNDO MOVIESTAR TE ROBAN TUS BLOQUES DIOS MI LIBERANOS DE ESTE SECUESTRO
0,Telcel tiene cobertura en narnia? Porque en xonacatlan no.. Y pienso salir de vacaciones la proxima semana
0,"P1nch3 @Telcel no manches regresa la se?al, mi iphone de 4a generacion se ha vuelto un ladricell jaja, pisapapeles, cero se?al en #Uruapan"
0,"casos como #jcpenney #carrefour tipicos de de modelos comerciales modernos para chile, ahora #starbucks, no porfavor"
1,#NadaMejorQue llegue un señor a Starbucks a veender boletos de loteria ! JAJAJAJAJA !
1,Me gusta mucho que @IUSACELL enfoque su publicidad a android :) http://bit.ly/qC5vCI
0,Lo q se alaba se caga Dice un dicho popular. Movistar a ti solo hay q decirte Merwe...
0,"Voy a comprar una #PlayBook a #Telcel y ninguno de los amables jóvenes sabe que es eso, ni que paquete ni funciones, ni nada. #fb"
0,"#Telmex llama por teléfono para avisarte del aumento, pero realmente están haciendo una encuesta para saber si recomendarías el servicio."
0,"Y del streaming con las conexiones de telmex actuales, ni hablamos."
0,"estimado @IUSACELL hace mas de 1 mes q me están haciendo el tramite de la portabilidad  d mi linea, no ha quedado y me siguen cobrando!"
0,Vandalismo interrumpe 3G Movistar: Î�eXtraé! Š—“Ayer sufrimos un corte en la fibra óptica de Movistar  en el munici... http://bit.ly/nYUFkU
0,Hay zonas que quedan incomunicadas debido a las lluvias y otras debido a la pésima red de Telcel.
0,Î�BINGO!.La señal de movistar hoy esta MIERDA.
0,inche señal de telmex
0,Ese momento en el que necesitas volver a wap y movistar te trolea pidiendo datos que no tienes. ÎèPOR QUé AHORA?
0,No me gusta Starbucks. #HeDicho
0,Y que me debo quedar con un servicio pésimo por un año...#TELMEXESLOPEOR #TELMEXESLOPEOR. #Telmex @TELMEXSoluciona @TelmexAyuda
0,Luego me llego un texto hoy como a las 3 de la mañana invitandome a usar el Messenger de Telcel y ya lo hice pero pues no sé ni que pedo =S
0,"Tengo Una semana esperando a que  vengan los de megacable con las cajitas y  ni sus luces,  para eso me despertaron!!????? -.-'"
0,WTF con #iusacell ... voy a cambiar el plan y me responden q no se puede pq no tienen chip???? ah??? y esa respuesta q??
0,Movistar hoy mas q nunk debo decirte que apestas...
0,No entiendo x q telcel no me deja hacer llamadas!!!
1,El día edge de qui’ånes usamos Movistar!
0,"Ok, el consul de holanda vivito y coleando en starbucks tomando un cafe spresso! Un recien infartado puede tomar cafe?"
0,"Detesto que mi celular no entren las llamadas siempre llegan correos de Voz, me estas estresando Iusacell"
0,"Ay Movistar, no comiences a ponerte lento."
1,STARBUCKS FUNCIONA!
0,"Cosas que sacan de quicio: #cablevision, #banamex, #telcel &lt;3"
0,"ah ok pero voh estudiabas antes RT @OlgaRomeroM: @MetioYmedio Servicio de Datos de Movistar congestionado, te sirve??????????????????"
1,"Reporto un Internet del Orto, Gracias por Tanto Movistar HDMP!!!"
1,"En la pagina de movistar figura que mando mensajes al 90200 (GH) todos los meses y sale $1.5 c/u, no puedo hacerles juicio? xD"
0,Hahahhahhaaha RT @_crixus_: Î�Déjame en paz! Î�No me envíes mas SMS! Î�No quiero saber mas de ti át. Cliente Movistar'!
0,"Me chocan los anuncios de @megacable, no los soporto que se vallan a criticar a su abuela, #vivainfinitum"
0,Descargando a 4.38 kb/s a esta hora? que mierda de internet.. #Telmex. #ValesMadre.. Ni cuando salieron los discos de AOL
0,dejare #axtel y me cambiare a #telmex por ineficientes!!!
1,AJAJAJ MOVISTAR HOY ANDA FINO RT @FelixNoghrs RT @MDeffitt: Ayer era movistar Îèy hoy le tocó a Digitel? -.---
0,Q locura con movistar mas d 12 horas sin pin ?
0,#MOVISTAR y #MOVILNET Estan compitiendo ratones para ver quien tiene mas fallas en un año?
0,Movistar no ha servido para nada hoy!!
1,Malditos modems de megacable :S mejor voy  y compro un cisco de esos de los buenos
1,La única forma que diga que ame a Movistar seria con 3 lindos pases.
1,Amoo el plan d mi cell.. Puedo llamar toda la nochee a movistar gratis :D me fuy buenad noches
0,"Segun Movistar y Blackberry es un problema masivo, pero yo desde el viernes no tel internet en mi telefonito! :(  #desconectada"
1,"Llevas con ese cuento desde hace 8 meses xd RT @AbiChispita_: Me cambiaré a Movistar, gracias."
0,Yo pensando que no me quería responder mis llamadas y es movistar que está hecho una mierda
0,hablando con @AlfonsoPueblafc y un wey de telcel... para sacar mi black.... pero no mams... estan bn pinches caros los planes!!!
1,"En Movistar Sms gratis a cualquier operador en Conmemoración al Dia de La Independencia, Marca 8986+04XX+numero"
0,Suerte la mia que no todo mexico sea territorio telcel
0,"#TWON ! buen dia todos ... empezando el dia con la factura de movistar en la frente $611,29 !! @falvioll"
1,A mi me hacen feliz con la vainilla en polvo de Starbucks.
0,Y Ahora quien podra defenderme no podre ver #LaReinaDelSur por culpa de la señal de telmex snif snif
0,telcel es porqueriaa
1,"Todos me dicen que Claro es mejor, entonces compraré Movistar, sólo para dar la contra"
1,Venezuela quiere Starbucks y lo lograremos! Demostremos que si podemos. #StarbucksEnVenezuela @StarbucksVNZLA
0,FOH ODIO TELCEL!!!!!! malditos llevan mas de 3 semanas con mi BB!!!!
0,En la televisión avanzada de #Telmex hasta ahora están en la parte en que el idiota se comió el gol. #fail
0,"Sí, el internet de movistar está como las pelotas ultimamente."
0,"Toda la vida pensando que el número del demonio es el 666, y ahora descubro que es el 1004 de Movistar. Qué cara más dura tenéis, amigos."
0,@MonchFerro: Cuando te quieras poner de malas ve a telmex 10 mins y con eso basta!!&gt;&gt; Totalmente de acuerdo por eso me cambie
0,#noesdeDios no tener internet por las lluvias y que los de Telmex aún no vayan xD
0,bien bueno desde anoche no tengo señal en movistar en valle de la pascua @Presid_Movistar
1,De marca que ha logrado starbucks. En hora buena para ellos y sus franquiciatarios.
0,"Movistar esta demasiado pote, no lo soporto :c"
1,Hoy tengo unas ganas tremendas de ir al starbucks !
0,Que me dicen del que tiene llamadas ilimitadas gracias a la red caída de Movistar :p
1,#elmejorinvento Starbucks! :D
0,"Yo no sé que le sucede a Movistar, pero como que me quiere ver alzada."
0,club movistar disculpe estoy llamando para sabe si su club tiene pisinas ya q no e podido visitar las intalacione atentamente alicia machado
1,quiero ir a starbucks :c
0,megacable es una porqueria! de verdad! pesimo servicio!!
0,Los de telcel ofrecen #terribleservicios :S
0,Cosas imposibles en esta vida: 1.- Que el internet de Movistar tenga buena señal. 2.- Tocar mi codo con mi lengua. 3.- Olvidarte
